Question - max 120 characters,Answer 1 - max 75 characters,Answer 2 - max 75 characters,Answer 3 - max 75 characters,Answer 4 - max 75 characters,"Time limit (sec) – 5, 10, 20, 30, 60, 90, 120, or 240 secs",Correct answer(s) - choose at least one
What is the collective noun for a group of parrots?,A pandemonium,A parliament,A murder,A clowder,30,1
"Which mammal is the only species capable of sustained, true flight?",The sugar glider,The flying squirrel,The bat,The colugo,30,3
Which aquatic animal has been identified through molecular phylogeny as the closest living relative to the hippopotamus?,The pig,The whale,The manatee,The rhinoceros,30,2
How many heart chambers does a cockroach possess?,1,4,13,3,30,3
What unique physical feature allows a giraffe to maintain blood flow to its brain at its extreme height?,Extremely thick blood,Very high blood pressure,Multiple carotid arteries,A second heart in the neck,30,2
What is the primary reason why honeybees perform a 'waggle dance' within the hive?,To warn of predators,To regulate hive temperature,To communicate food locations,To attract a mate,30,3
Which animal is the only marsupial found in North America?,The Virginia opossum,The wallaby,The North American porcupine,The raccoon,30,1
"What is the skin colour of a polar bear beneath its hollow, clear fur?",Grey,Pink,Black,White,30,3
A newborn kangaroo is approximately the size of which small fruit?,An apple,A grape,A cherry,A melon,30,2
Which bird possesses eyes that are larger than its entire brain?,The owl,The hummingbird,The ostrich,The eagle,30,3
How many hearts does an octopus have to facilitate blood circulation through its body?,1,3,8,2,30,2
"What is the primary food source for a koala, which spends most of its life in the trees of Australia?",Eucalyptus leaves,Bamboo shoots,Wild berries,Acacia seeds,30,1
What is the gestation period for a pregnant African elephant?,9 months,22 months,15 months,12 months,30,2
Which of these animals is known to produce cube-shaped faeces?,The platypus,The Tasmanian devil,The wombat,The kangaroo,30,3
Which anatomical feature do lions use to determine the approximate age of another lion?,The nose,The size of the mane,The tail length,The number of teeth,30,1
Where are the only sweat glands located on a dog's body?,The pads of their paws,Under their tail,Behind their ears,Their tongue,30,1
Which bird is recognised as the symbol for peace?,The dove,The peacock,The swan,The eagle,30,1
What is the collective noun for a group of crows?,A prickle,A cete,A murder,A drift,30,3
Which animal is the only big cat that lives and hunts in social groups called prides?,The cheetah,The lion,The tiger,The leopard,30,2
What is the only bird capable of flying backwards?,The woodpecker,The hummingbird,The swift,The kingfisher,30,2
Which of these insects can survive for several weeks without its head?,The beetle,The cockroach,The praying mantis,The ant,30,2
How do sea otters prevent themselves from drifting apart while they sleep in the water?,They tie themselves with kelp,They hold hands,They use their tails as hooks,They sleep in caves,30,2
What is the name for a female fox?,Doe,Vixen,Ewe,Jenny,30,2
Which marine animal has blue blood because it uses copper rather than iron to transport oxygen?,The horseshoe crab,The dolphin,The starfish,The shark,30,1
"What colour is the sweat of a hippopotamus, which acts as a natural sunscreen?",Green,Red-orange,Blue,Clear,30,2
"Which bird is the fastest land animal on two legs, reaching speeds up to 43 mph?",The ostrich,The emu,The roadrunner,The secretary bird,30,1
What determines the gender of a sea turtle hatchling during incubation?,The size of the egg,The salinity of the water,The temperature of the sand,The time of day the egg was laid,30,3
Which of these mammals is known to have 32 brains?,The jellyfish,The starfish,The earthworm,The leech,30,4
How do dolphins 'see' or locate objects and prey in dark or murky water?,Echolocation,Thermal vision,Sense of smell,Electroreception,30,1
Which animal has stripes on its skin as well as on its fur?,The zebra,The badger,The tiger,The leopard,30,3
What is the collective noun used to describe a group of parrots?,A clowder,A murder,A prickle,A pandemonium,30,4
Which of these animals is known to have the highest blood pressure in the animal kingdom?,Blue whale,African elephant,Giraffe,Cheetah,30,3
What primary factor determines the gender of a baby sea turtle while it is still in the egg?,Genetic chromosomes,Depth of the nest,Salinity of the sand,Incubation temperature,30,4
"What is the weight of the smallest mammal in the world, such as the bumblebee bat or the Etruscan shrew?",Approximately 10 g,Approximately 2 g,Approximately 50 g,Approximately 100 mg,30,2
How many heart chambers does a cockroach possess?,3,13,4,1,30,2
The 'horn' of a narwhal is actually which type of anatomical structure?,Hardened keratin,A tooth,A bone protrusion,A sensory antenna,30,2
"Which of these animals is the only mammal capable of sustained, powered flight?",Flying squirrel,Colugo,Bat,Pterodactyl,30,3
What is the maximum amount of time a sloth can hold its breath whilst underwater?,5 minutes,10 minutes,2 hours,40 minutes,30,4
Which animal is unique for producing cube-shaped faeces?,Koala,Platypus,Wombat,Kangaroo,30,3
"According to recent research, which modern-day bird is the closest living relative to the Tyrannosaurus Rex?",Crocodile,Ostrich,Komodo dragon,Chicken,30,4
What is the largest species of primate currently living on Earth?,Orangutan,Gorilla,Mandrill,Chimpanzee,30,2
What unusual physical posture must a flamingo adopt in order to eat?,It must stand on one leg,Its head must be upside down,It must be completely submerged,It must eat while flying,30,2
"Which of these animals is well-known for its ability to regenerate lost body parts, including limbs and organs?",Axolotl,Seahorse,Chameleon,Leech,30,1
From what distance is a wolf able to smell its prey?,Nearly two miles,500 yards,30 feet,10 miles,30,1
Which group of mammals is defined by the unique characteristic of laying eggs instead of giving birth to live young?,Ungulates,Marsupials,Placentals,Monotremes,30,4
How do honeybees communicate the location and quality of food sources to other members of their hive?,By leaving a trail of honey,By dancing,Through ultrasonic clicks,By touching antennae,30,2
"Which land mammal possesses the highest number of teeth, reaching up to 100?",Grizzly bear,Giant Armadillo,Hippopotamus,African Elephant,30,2
The eyes of a reindeer are known to change colour from gold in the summer to which colour in the winter?,Blue,Green,Black,Red,30,1
Which insect is the only one capable of turning its head 180 degrees?,Cockroach,Honeybee,Praying mantis,Dragonfly,30,3
In which of these sea creatures does the male carry the eggs and give birth to the young?,Seahorse,Octopus,Box jellyfish,Clownfish,30,1
Which animal is the largest land predator found on the continent of Australia?,Tasmanian Devil,Saltwater Crocodile,Red Kangaroo,Dingo,30,4
How many different facial expressions is a horse capable of making?,50,17,0,3,30,2
Approximately how many muscles are contained within an elephant's trunk?,"2,000",100,600,"40,000",30,4
Which animal is famously known for having 32 brains?,Octopus,Starfish,Leech,Cockroach,30,3
Which of these animals has fingerprints that are so similar to humans that they have been mistaken for them at crime scenes?,Raccoon,Koala,Chimpanzee,Gorilla,30,2
True or False: Sharks have bones in their skeletons.,TRUE,FALSE,,,30,2
How much weight can a baby blue whale gain in a single day during its first year?,50 pounds,250 pounds,10 pounds,"1,000 pounds",30,2
What is the longest period of time a snail has been observed to sleep without waking?,3 years,24 hours,1 week,3 months,30,1
Which animal has stripes not only on its fur but also directly on its skin?,Skunk,Chipmunk,Zebra,Tiger,30,4
Which of these birds is well-known for its ability to recognize and remember individual human faces for several years?,Crow,Robin,Hummingbird,Pigeon,30,1
"Although polar bears appear white to blend into the Arctic snow, what is the actual colour of their skin beneath the fur?",Black,Blue,White,Pink,30,1
The blue whale is the largest animal on Earth. Approximately how much weight can a blue whale calf gain in a single day during its nursing period?,50 pounds,500 pounds,10 pounds,250 pounds,30,4
How many cervical (neck) vertebrae does a giraffe possess?,12,7,21,14,30,2
Which of the following describes the unique circulatory system of an octopus?,Four hearts and green blood,Two hearts and red blood,Three hearts and blue blood,One heart and clear blood,30,3
"A sloth's metabolism is notoriously slow, but it has a surprising aquatic ability. For how long can a sloth hold its breath underwater?",5 minutes,40 minutes,15 minutes,10 minutes,30,2
